Year,Surface Water Temp,Reservoir,Watershed,Type,Month
2018,21.2824,EFR,Ag_Strat,Ag,October
1989,18.04412,GRR,Ag_Strat,Ag,October
1990,17.6226,GRR,Ag_Strat,Ag,October
1991,16.3686,GRR,Ag_Strat,Ag,October
1992,16.7296,GRR,Ag_Strat,Ag,October
1993,16.8688,GRR,Ag_Strat,Ag,October
1994,19.822,GRR,Ag_Strat,Ag,October
1995,19.10953333,GRR,Ag_Strat,Ag,October
1996,19.4936,GRR,Ag_Strat,Ag,October
1997,19.8645,GRR,Ag_Strat,Ag,October
1998,21.4208,GRR,Ag_Strat,Ag,October
1999,19.3667,GRR,Ag_Strat,Ag,October
2000,19.7848,GRR,Ag_Strat,Ag,October
2001,18.3258,GRR,Ag_Strat,Ag,October
2002,21.3186,GRR,Ag_Strat,Ag,October
2003,19.702,GRR,Ag_Strat,Ag,October
2004,19.7563,GRR,Ag_Strat,Ag,October
2005,21.1875,GRR,Ag_Strat,Ag,October
2006,18.96244,GRR,Ag_Strat,Ag,October
2007,21.92252,GRR,Ag_Strat,Ag,October
2008,20.7145,GRR,Ag_Strat,Ag,October
2009,18.7479,GRR,Ag_Strat,Ag,October
2010,20.0542,GRR,Ag_Strat,Ag,October
2015,20.95953333,GRR,Ag_Strat,Ag,October
2016,22.31246667,GRR,Ag_Strat,Ag,October
2017,21.39572,GRR,Ag_Strat,Ag,October
2018,21.96412,GRR,Ag_Strat,Ag,October
Row Labels,HTR,HTR,Ag_No_Strat,Ag,October
1989,13.3399,HTR,Ag_No_Strat,Ag,October
1991,12.81926667,HTR,Ag_No_Strat,Ag,October
1992,14.787,HTR,Ag_No_Strat,Ag,October
1993,14.8942,HTR,Ag_No_Strat,Ag,October
1994,13.8402,HTR,Ag_No_Strat,Ag,October
1998,17.92473333,HTR,Ag_No_Strat,Ag,October
1999,16.66886667,HTR,Ag_No_Strat,Ag,October
2000,11.779,HTR,Ag_No_Strat,Ag,October
2002,18.3886,HTR,Ag_No_Strat,Ag,October
2003,13.5282,HTR,Ag_No_Strat,Ag,October
2004,16.2434,HTR,Ag_No_Strat,Ag,October
2007,18.2814,HTR,Ag_No_Strat,Ag,October
2010,15.7306,HTR,Ag_No_Strat,Ag,October
2015,16.0178,HTR,Ag_No_Strat,Ag,October
2016,19.2064,HTR,Ag_No_Strat,Ag,October
2017,18.879,HTR,Ag_No_Strat,Ag,October
2018,14.504,HTR,Ag_No_Strat,Ag,October
1989,15.50371667,MNR,Forest,For,October
1990,17.106575,MNR,Forest,For,October
1991,16.09541667,MNR,Forest,For,October
1992,17.23665,MNR,Forest,For,October
1993,15.1494,MNR,Forest,For,October
1994,18.18645,MNR,Forest,For,October
1995,18.33711667,MNR,Forest,For,October
1996,17.23655,MNR,Forest,For,October
1997,18.93805,MNR,Forest,For,October
1998,19.89965,MNR,Forest,For,October
1999,17.81235,MNR,Forest,For,October
2000,17.21185,MNR,Forest,For,October
2001,17.631075,MNR,Forest,For,October
2002,19.9872,MNR,Forest,For,October
2003,18.456575,MNR,Forest,For,October
2004,18.62895,MNR,Forest,For,October
2005,20.49581667,MNR,Forest,For,October
2006,18.23705,MNR,Forest,For,October
2007,20.5748,MNR,Forest,For,October
2008,19.67841667,MNR,Forest,For,October
2009,18.03605,MNR,Forest,For,October
2010,17.93665,MNR,Forest,For,October
2015,19.55405,MNR,Forest,For,October
2016,21.0497,MNR,Forest,For,October
2017,20.89541667,MNR,Forest,For,October
2018,19.67908333,MNR,Forest,For,October
1989,14.93763,MSR,Ag_No_Strat,Ag,October
1990,13.84673,MSR,Ag_No_Strat,Ag,October
1991,12.80095,MSR,Ag_No_Strat,Ag,October
1992,13.89645,MSR,Ag_No_Strat,Ag,October
1993,13.65415,MSR,Ag_No_Strat,Ag,October
1994,16.81505,MSR,Ag_No_Strat,Ag,October
1995,17.01398333,MSR,Ag_No_Strat,Ag,October
1997,17.69195,MSR,Ag_No_Strat,Ag,October
1998,18.38555,MSR,Ag_No_Strat,Ag,October
1999,15.09585,MSR,Ag_No_Strat,Ag,October
2000,12.74005,MSR,Ag_No_Strat,Ag,October
2001,18.15245,MSR,Ag_No_Strat,Ag,October
2002,16.9641,MSR,Ag_No_Strat,Ag,October
2003,13.6282,MSR,Ag_No_Strat,Ag,October
2004,16.28555,MSR,Ag_No_Strat,Ag,October
2005,19.15095,MSR,Ag_No_Strat,Ag,October
2006,15.9859,MSR,Ag_No_Strat,Ag,October
2007,20.19818333,MSR,Ag_No_Strat,Ag,October
2008,18.34775,MSR,Ag_No_Strat,Ag,October
2009,15.1282,MSR,Ag_No_Strat,Ag,October
2010,16.74645,MSR,Ag_No_Strat,Ag,October
2016,19.99135,MSR,Ag_No_Strat,Ag,October
2017,20.03365,MSR,Ag_No_Strat,Ag,October
2018,16.97595,MSR,Ag_No_Strat,Ag,October
1989,17.89229,NRR,Ag_No_Strat,Ag,October
1990,18.91759,NRR,Ag_No_Strat,Ag,October
1991,17.668075,NRR,Ag_No_Strat,Ag,October
1992,18.893675,NRR,Ag_No_Strat,Ag,October
1993,17.78786429,NRR,Ag_No_Strat,Ag,October
1994,17.87699,NRR,Ag_No_Strat,Ag,October
1995,17.0759,NRR,Ag_No_Strat,Ag,October
1996,16.61505,NRR,Ag_No_Strat,Ag,October
1997,15.655875,NRR,Ag_No_Strat,Ag,October
1998,16.44985,NRR,Ag_No_Strat,Ag,October
1999,19.768975,NRR,Ag_No_Strat,Ag,October
2000,20.15229,NRR,Ag_No_Strat,Ag,October
2001,19.64265,NRR,Ag_No_Strat,Ag,October
2002,20.555575,NRR,Ag_No_Strat,Ag,October
2003,19.593225,NRR,Ag_No_Strat,Ag,October
2004,20.393825,NRR,Ag_No_Strat,Ag,October
2005,21.7503,NRR,Ag_No_Strat,Ag,October
2006,19.68031667,NRR,Ag_No_Strat,Ag,October
2007,22.26295,NRR,Ag_No_Strat,Ag,October
2008,20.355875,NRR,Ag_No_Strat,Ag,October
2009,19.66235,NRR,Ag_No_Strat,Ag,October
2010,20.72663,NRR,Ag_No_Strat,Ag,October
2015,20.66325,NRR,Ag_No_Strat,Ag,October
2016,22.36355,NRR,Ag_No_Strat,Ag,October
2017,21.73915,NRR,Ag_No_Strat,Ag,October
2018,21.63735,NRR,Ag_No_Strat,Ag,October
Row Labels,PRR,PRR,Forest,For,October
1989,16.1895,PRR,Forest,For,October
1990,17.807,PRR,Forest,For,October
1991,17.475,PRR,Forest,For,October
1992,16.77633333,PRR,Forest,For,October
1993,16.312,PRR,Forest,For,October
1994,19.40633333,PRR,Forest,For,October
1995,18.659,PRR,Forest,For,October
1996,17.919,PRR,Forest,For,October
1997,20.91033333,PRR,Forest,For,October
1998,18.699,PRR,Forest,For,October
1999,18.029,PRR,Forest,For,October
2000,19.52666667,PRR,Forest,For,October
2001,17.902,PRR,Forest,For,October
2002,19.3614,PRR,Forest,For,October
2003,18.995,PRR,Forest,For,October
2004,18.19233333,PRR,Forest,For,October
2005,20.1862,PRR,Forest,For,October
2006,17.7665,PRR,Forest,For,October
2007,21.0178,PRR,Forest,For,October
2008,19.8366,PRR,Forest,For,October
2009,18.72144444,PRR,Forest,For,October
2010,21.2802,PRR,Forest,For,October
2015,19.364,PRR,Forest,For,October
2016,21.354,PRR,Forest,For,October
2017,21.532,PRR,Forest,For,October
2018,21.056,PRR,Forest,For,October
1989,16.65363,RRR,Ag_Strat,Ag,October
1990,19.02147,RRR,Ag_Strat,Ag,October
1991,18.3027,RRR,Ag_Strat,Ag,October
1992,18.41715,RRR,Ag_Strat,Ag,October
1993,18.2049,RRR,Ag_Strat,Ag,October
1994,19.52695,RRR,Ag_Strat,Ag,October
1995,19.5147,RRR,Ag_Strat,Ag,October
1996,19.24165,RRR,Ag_Strat,Ag,October
1997,20.581375,RRR,Ag_Strat,Ag,October
1998,21.71388333,RRR,Ag_Strat,Ag,October
1999,19.24705,RRR,Ag_Strat,Ag,October
2000,20.29918333,RRR,Ag_Strat,Ag,October
2001,19.82255,RRR,Ag_Strat,Ag,October
2002,20.05735,RRR,Ag_Strat,Ag,October
2003,20.0799,RRR,Ag_Strat,Ag,October
2004,19.61715,RRR,Ag_Strat,Ag,October
2005,21.4255,RRR,Ag_Strat,Ag,October
2006,18.77255,RRR,Ag_Strat,Ag,October
2007,20.80081667,RRR,Ag_Strat,Ag,October
2008,19.9206,RRR,Ag_Strat,Ag,October
2009,19.86225,RRR,Ag_Strat,Ag,October
2010,20.04315,RRR,Ag_Strat,Ag,October
2015,20.81715,RRR,Ag_Strat,Ag,October
2016,22.738975,RRR,Ag_Strat,Ag,October
2017,22.94655,RRR,Ag_Strat,Ag,October
2018,22.7191,RRR,Ag_Strat,Ag,October
1989,14.35941667,SRR,Ag_No_Strat,Ag,October
1990,14.421375,SRR,Ag_No_Strat,Ag,October
1991,14.61391667,SRR,Ag_No_Strat,Ag,October
1992,15.56475,SRR,Ag_No_Strat,Ag,October
1993,14.4025,SRR,Ag_No_Strat,Ag,October
1997,17.903,SRR,Ag_No_Strat,Ag,October
1998,18.2,SRR,Ag_No_Strat,Ag,October
1999,16.57075,SRR,Ag_No_Strat,Ag,October
2000,16.16825,SRR,Ag_No_Strat,Ag,October
2001,15.6945,SRR,Ag_No_Strat,Ag,October
2002,17.69025,SRR,Ag_No_Strat,Ag,October
2003,15.3805,SRR,Ag_No_Strat,Ag,October
2004,16.30125,SRR,Ag_No_Strat,Ag,October
2006,15.3695,SRR,Ag_No_Strat,Ag,October
2007,18.88658333,SRR,Ag_No_Strat,Ag,October
2008,17.64025,SRR,Ag_No_Strat,Ag,October
2009,10.236,SRR,Ag_No_Strat,Ag,October
2010,16.24525,SRR,Ag_No_Strat,Ag,October
2013,17.53675,SRR,Ag_No_Strat,Ag,October
2016,19.55725,SRR,Ag_No_Strat,Ag,October
2017,16.65225,SRR,Ag_No_Strat,Ag,October
2018,17.8635,SRR,Ag_No_Strat,Ag,October
1989,16.4638,TAR,Ag_Strat,Ag,October
1990,17.62487,TAR,Ag_Strat,Ag,October
1991,17.25855,TAR,Ag_Strat,Ag,October
1992,17.287175,TAR,Ag_Strat,Ag,October
1993,16.791775,TAR,Ag_Strat,Ag,October
1994,17.658875,TAR,Ag_Strat,Ag,October
1995,19.26435,TAR,Ag_Strat,Ag,October
1996,18.6631,TAR,Ag_Strat,Ag,October
1997,19.882575,TAR,Ag_Strat,Ag,October
1998,21.19145,TAR,Ag_Strat,Ag,October
1999,18.41315,TAR,Ag_Strat,Ag,October
2000,18.78461,TAR,Ag_Strat,Ag,October
2001,18.16185,TAR,Ag_Strat,Ag,October
2002,19.21975,TAR,Ag_Strat,Ag,October
2003,18.957575,TAR,Ag_Strat,Ag,October
2004,19.312825,TAR,Ag_Strat,Ag,October
2005,20.06803,TAR,Ag_Strat,Ag,October
2006,17.75295,TAR,Ag_Strat,Ag,October
2007,21.06855,TAR,Ag_Strat,Ag,October
2008,19.866125,TAR,Ag_Strat,Ag,October
2009,19.787175,TAR,Ag_Strat,Ag,October
2010,19.6046,TAR,Ag_Strat,Ag,October
2011,19.56435,TAR,Ag_Strat,Ag,October
2012,18.78145,TAR,Ag_Strat,Ag,October
2015,20.34758333,TAR,Ag_Strat,Ag,October
2016,22.35725,TAR,Ag_Strat,Ag,October
2017,21.01515,TAR,Ag_Strat,Ag,October
2018,20.64541667,TAR,Ag_Strat,Ag,October
