MaxCD,TN,TP,Precip
235.616384,0.3,5,-1.318801906
2626.811594,0.241666667,5,-1.277343898
2292.5,0.483333333,12,1.259367965
68.07692308,0.265,115,-0.129475302
23.06976167,0.2,35.5,-0.06728829
639.4973732,1.394473684,70,0.865516889
1394.545,0.105,5,-0.056923788
108.143,0.245557143,5,-0.831670312
114.502,0.326857143,4.6125,-1.974356657
326.3056929,0.2706,87.89473684,0.103725993
601.0915706,0.236711111,1.26,-0.497415123
2578.67,0.2575,3.5,-0.03878591
257.745,0.3475,16.57142857,-1.660830471
1698.227697,0.247,28.42857143,0.03635673
9774.379085,0.906491667,5.1,0.621951092
1045415.452,0.843011765,61.33333333,-1.507954067
917375.0827,0.433571429,5,0.948432905
10994.24128,0.325714286,29.5,1.085762556
60069.05496,0.170055556,10.75,-0.19425344
85271.22311,0.187915,18,0.287695903
704232.1831,0.35,0.7,-1.05709823
44091.71076,0.4,39.75,-0.712478539
972.222,0.575,7.983333333,0.222917765
420.7349282,0.248,6.658823529,0.593448712
83.49056604,0.21,2,0.471665813
29.764,0.8375,31.57142857,-1.386171169
139.159,0.95355,7.555555556,1.484795883
146.573,1.71488,88.83333333,1.961562974
302.762,0.375809091,10,1.269732467
191.4613492,0.490545455,189.25,0.787783124
552.4608854,0.397608333,5,0.14000175
64.136,0.335262222,15,0.570128582
132.533,0.25,7.826086957,-0.50112147
13.79170856,0.661428571,4.74,-1.616273557
76266.22853,0.36,63.5,1.452624989
60547.5,0.506617647,14.44285714,0.241569821
1941.515231,0.726666667,10.375,-0.411909302
176731.359,0.17875,51.38,0.591727577
92429.93049,0.387,8.090909091,0.611800314
155995.7426,0.514333333,27.81818182,-0.663933674
498213.5361,1.007730769,3.5,-1.188055156
31378.60082,0.489,58.11111111,-0.264709227
38864.583,0.841758242,11,-0.012684855
22185.28261,1.626171429,35.55555556,0.344163813
2707.215,1.147533333,21.3,-1.600661428
2683.963,0.8762,117.4705882,0.593957881
757.781,0.634764706,21.73333333,0.063145487
945.903,0.633666667,126.8333333,-0.503351774
2500.96,0.2625,20.4,1.207291529
839.3938824,0.475,23.95833333,-0.188878885
20303.36,0.46,24,-0.969485346
5245.662,0.089137931,58.22307692,-0.550188161
2843.533116,0.273571429,18,-1.944128271
3073.90099,0.352,19.96923077,-1.01409143
657995.6813,0.204142857,38.7,0.573885143
8628.26087,0.776555556,30.33333333,-0.171036451
324212.0997,0.352,63.13333333,-0.023836376
49067.80509,0.711666667,25.88235294,0.234878909
377326.7758,1.456275,47.08333333,3.198953158
295307.0432,1.24195,9,0.821448907
225231.611,0.3755,56.66666667,0.346394117
58280.79853,0.555385714,11.4,0.544891189
5445,0.575957143,53.33333333,0.038612141
370.1709402,0.44,15.35714286,0.75900039
1692.200455,0.48,26.71428571,-0.569722352
1604.503,0.5,31.06666667,-0.244218161
1348.852,0.67,7.9,-0.09730919
2535.232,0.728333333,2.633333333,0.182105912
920.808,0.467,11.63333333,-0.702228483
3917.822222,2.0608,35.725,0.029435805
1050.765,0.867875,3.166666667,0.300209203
4073.008,1.605,27.875,-0.20100964
